address, current_balance , gross_tx_amount , in_amount , out_amount , fees , out_txn_count , in_tx_count , gross_txn_count 
GCJJ4U76F45TIYJDCPWZOCMKZKVV5IONKAS7T3IYAIRLY5N52ZNSSQ5W,900.00,900.00,900.00,0,0,0,1,1
GBBXN3CBWAFH5P46KJRERQHDNPWWJQXGZ76WF2H27EETPMMOBEUQ62NN,885.99,"2,019,126.00","1,010,006.00",1009120,0.01,945,947,1892
GD7EOW2PIT4YPLBAP3O4SXKVA5PSRRJKYDO5IXNQDASXPKGCHZJ2TX2Q,885.99,"41,409,914.00","20,705,400.00",20704514,0.01,886,887,1773
GCKMFOANOLDXUMPR4TJ34R3NZCQGHT2YQQEVGMFFIZNGIX26W6OGKH7S,812.13,"1,199.00","1,006.00",193,0.87,3,15,18
GBVNQGRZYWDRBE57TU7Z62IRLFODSIFZ3WW2QQH4V4YRSGDB6AP5VNRS,805.99,"2,531,746.00","1,266,276.00",1265470,0.01,954,959,1913
GCRKCT7TWFVMET5KWFOP2OHN6L57Z3U6QGXKVEULEBFE6FBUUNVEH5MA,802.99,"2,438,329.00","1,219,566.00",1218763,0.01,849,849,1698
GBZDDE4FUGEG3XMZ672QUO5XC6SZLDI3B5FXBK37KX6DTF56RMZUXTA6,800.00,800.00,800.00,0,0,0,1,1
GBGG6Y7LMWYKPBA37Z5IK5TIDGFSOBJVTFYTWNAVSZ5RIWGRLPTZR7GT,800.00,800.00,800.00,0,0,0,1,1
GCHVX3FOUYP5AH7FVWJRUQRHIYUNEZ6X3SDPCQZEW4UQVMNKAALQOPQQ,800.00,800.00,800.00,0,0,0,3,3
GD3MLZUGAFCI24Y54EINFWXSYUT722N73GGJCA6T24JCWNJC4YAGSTER,790.53,997.00,894.00,103,0.47,3,3,6
GB3LQCN3D6BCXL6P46FZBRVVMV7YDBZF3MSDHOZJFMTTQ3SBDJHY5UKV,782.99,"774,591.00","387,687.00",386904,0.01,787,792,1579
GBPB7BZ52KEAT5O4OHOHLC5UNUPFV3MVUDCOS4IEJFTIYEPO5JW77HRX,735.58,922.00,829.00,93,0.42,4,1,5
GDQKVDZVWAMJ377F4ZD5LH5YVUVJISTKYFP2ANOL4QZPN5YC23S6EXBO,700.00,700.00,700.00,0,0,0,5,5
GDC4KLAJILEJ4F2AOQ7NSJTHH3XVDAZ7Q4AB2MJEZYLKGTHJJZWZLSJH,700.00,700.00,700.00,0,0,0,3,3
GCTKY6RKU4CWMPOSHWGC4QKPQ7T7WSKG25XD2C72QTP4JIOWHMF472HP,633.00,633.00,633.00,0,0,0,3,3
GCNAJ2UB5K3BWRYP3RF2OQY4UUF5YTKM2556T2KBJA3W5474VIQ4ZSVC,615.99,"585,664.00","293,140.00",292524,0.01,629,657,1286
