address, current_balance , gross_tx_amount , in_amount , out_amount , fees , out_txn_count , in_tx_count , gross_txn_count 
GA3KQ367GJ7A7GFN6C2DHGPWRBSKITPJQC5GOUX5Q3TXQJZDH42ECUII," 4,299.40 "," 4,299.40 "," 4,299.40 ", -   , -   , -   , 2 , 2 
GDKU5M2HSIFFBQF5HXNROGWQ3AJ5C7CZ3ZPIUGQ4K4AO3AI3WWPKVSPD," 3,600.00 "," 3,600.00 "," 3,600.00 ", -   , -   , -   , 3 , 3 
GCKWHILKEPHGH47CKCGXP7Y3ACOKXLRAF4VZE26UXZLHRVTQFQ67ER2O," 3,585.42 "," 3,613.72 "," 3,599.60 ", 14.12 , 0.06 , 2 , 3 , 5 
GCTN3LCUWDGAQJKVXW2GYJ7DFLHBTINAERVNJPD5X42AFKDJH562XGMJ," 3,201.03 "," 3,621.97 "," 3,411.97 ", 210.00 , 0.95 , 2 , 9 , 11 
GAAIJ57GPIAKAOAXTUGIRHJCGJPWIPRWNQWIXIITIH4XVQ4O3Z6GIEWZ," 3,200.02 "," 9,585.65 "," 6,400.00 "," 3,185.64 ", 14.34 , 1 , 5 , 6 
GBQLYIDQEQMZVQMX2BGE2WSIXS3CQRTE5TIFG5H72TJAVLH352X3FKXS," 3,185.67 "," 3,185.67 "," 3,185.67 ", -   , -   , -   , 10 , 10 
GAXVNFE2Z5UF6J2YIJ7WTOJPIMSWQNW7BURGUPUD3NE54QD6RIDREQME," 3,146.03 "," 3,146.03 "," 3,146.03 ", -   , -   , -   , 2 , 2 
GD3JRJG3NGPKBFJ54Q62HXT4EUCRQY7FVUR4TTSKNYJWZERWWSW4LPBD," 3,069.11 "," 3,069.19 "," 3,069.15 ", 0.04 , 0.00 , 2 , 3 , 5 
GAZ24G3R2LY3TYO32QLFSAAPNJANBL56JAJJFQOO2MUGGT44XM7PZOET," 3,011.10 "," 3,011.10 "," 3,011.10 ", -   , -   , -   , 4 , 4 
GDJ526NMR762YLM3XXVPHXF4B5GUAKPKJ6NUGWTVRNP7LKLYWVOBTG6K," 2,800.00 "," 2,800.00 "," 2,800.00 ", -   , -   , -   , 2 , 2 
GA4CJ4RVOXBAGHJR4M7IE2QYO7UMRW37NEERZLWE32TJE3QCLRUSHVRG," 2,799.10 "," 3,200.00 "," 3,000.00 ", 200.00 , 0.90 , 1 , 14 , 15 
GCXBROOWVUUDOUNGK3HXUWMLDTHEVI5DQEQZ2JKWOP6RM65Q32YF2FSR," 2,787.46 "," 2,787.46 "," 2,787.46 ", -   , -   , -   , 2 , 2 
GB3HCMMYBBQ7X6WDXRWZ5VH42PSTHPNVJY7O4EJ5WH3DI37XZ2JP34TY," 2,730.39 "," 2,730.39 "," 2,730.39 ", -   , -   , -   , 4 , 4 
GCIC4RTAOGX2FBWNCEXYXRHLZDPATEF2BSUL3FECW54ZROYXRYSB65EM," 2,721.82 "," 5,401.84 "," 4,064.84 "," 1,337.00 ", 6.02 , 4 , 3 , 7 
GBZDDE4FUGEG3XMZ672QUO5XC6SZLDI3B5FXBK37KX6DTF56RMZUXTA6," 2,697.77 "," 16,072.21 "," 9,400.00 "," 6,672.21 ", 30.02 , 4 , 6 , 10 
GA7MOGUMKBBJUEHT5SOD2TETJZR5U5YWHFWRQPDNUBBBZFI7PKXJRZGB," 2,668.51 "," 2,668.51 "," 2,668.51 ", -   , -   , -   , 6 , 6 
GCZ5ZDNF5LCAWASMVG7IWIU6SFDGU2VMBIS4XICDYUGAHYA4L7MYPAV6," 2,402.01 "," 6,005.34 "," 4,207.72 "," 1,797.62 ", 8.09 , 4 , 7 , 11 
GCSZCQAC5C2W3532YNBNPHU3N7Y6FLGWD4SHJGLUEGUZMUEJ5R7CV3H2," 2,325.03 "," 2,325.03 "," 2,325.03 ", -   , -   , -   , 9 , 9 
GBPOGLZWHAZFHGJ5D5FPTJCXRC4D5EMU6FYVDX46KD27IJCNLMWU2SAH," 2,219.18 "," 2,219.18 "," 2,219.18 ", -   , -   , -   , 5 , 5 
GDIA2QDTCYOTVRLLJLXBIK7VGIGQ7JW3UAACWRLSKIXXFETUQBWFQ6P7," 2,200.00 "," 2,200.00 "," 2,200.00 ", -   , -   , -   , 11 , 11 
GBGMWW27CUI4WTZAVX45CAGY2L5TT5IE4TTVN4PQBI6BBZ6LR7O4F3AK," 2,200.00 "," 2,200.00 "," 2,200.00 ", -   , -   , -   , 1 , 1 
GAPOPITPDN2YS3SDAEUBMVITRLRGHMT4XF5GSPNNJ557IMFK4Q6OLH6Q," 2,197.33 "," 84,412.70 "," 43,397.30 "," 41,015.40 ", 184.57 , 20 , 29 , 49 
GDPTKQRR6NOLDE5GOLEIAABNMRVWPIYVQ5GH2QLMSN2MZEJ2XQ3SHPUR," 2,012.02 "," 3,203.29 "," 2,609.00 ", 594.29 , 2.69 , 2 , 6 , 8 
GCLVR4I2OKAJKIADPC5IACIKL3MAUWMQICSVKDG2UIDM7V222SVN6FO6," 2,005.98 "," 2,006.02 "," 2,006.00 ", 0.02 , 0.00 , 1 , 3 , 4 
