address, current_balance , gross_tx_amount , in_amount , out_amount , fees , out_txn_count , in_tx_count , gross_txn_count ,
GCKB5E2UX5C52PXQNSGF32H6CNLMWDYP7JBWZ3JCKGDW7C2TP5UXNERY, 0.02 , 47 , 23.60 , 23.47 , 0.11 , 4 , 4 , 8 ,
GDX4BGL5Z6YTRO27UCNC6AWBGD3KJFLATGWYFGS74NW3DCTBBAIMJQDR, 0.02 , 47 , 23.60 , 23.47 , 0.11 , 4 , 4 , 8 ,
GAFJHK43MXSPNUCD237RVUPBZOREBYP6JL76OY4IFZALNLZAWH5NB2IS, 0.02 ," 2,395 "," 1,200.00 "," 1,194.60 ", 5.38 , 1 , 1 , 2 ,
GB6F7ZSI5FQB4KZBCC2O4JYU3TUETLKT737MBEMZMQRDU5MYAUKODSJ5, 0.02 , 12 , 5.80 , 5.75 , 0.03 , 1 , 1 , 2 ,
GDX4645J7KMAP66USOHRBVUUXDWXQQV7CNAAE4HY6SPOOOMRGAXJYXAF, 0.02 , 12 , 5.80 , 5.75 , 0.03 , 1 , 1 , 2 ,
GBUPOKS5SWBDZW3VB4QIDQC6UDRSE6WYDGNAAIDTKVYULIEMVBCSCZTS, 0.02 , 12 , 5.85 , 5.80 , 0.03 , 1 , 1 , 2 ,
GDAHHA5EFVNY447EYZCIXU56V5MM5JVP6IXXAA7H6K7R2OB4HJ3D2AFK, 0.02 , 12 , 5.90 , 5.85 , 0.03 , 1 , 1 , 2 ,
GBOJ6WLBA3AD2HL3IIDIYUUX6CWQSJXZ4LF2WRNAM4UFQYM7N6XGUY6Y, 0.02 , 16 , 8.17 , 8.11 , 0.04 , 2 , 2 , 4 ,
GAZVMVXC5GEZJI5DJOGA433UP2RYBC6O2SNLCRCWF5N7KWUFVZOMHD2N, 0.02 , 4 , 2.09 , 2.06 , 0.01 , 2 , 2 , 4 ,
GATWEPAGFHLBMLMYW2GYXCP5AVNVZNPN6C7AVPUH2QL4OFUO5L254CVI, 0.02 , 12 , 6.00 , 5.95 , 0.03 , 1 , 1 , 2 ,
GATCGZYQGAS7JSQKTWJGX2JTFT4UX2ZM56GX6L4YBZWQEX4QYUQTMDFL, 0.02 , 0 , 0.02 , -   , -   , -   , 1 , 1 ,
GDL2CLQ5GYPRI3OQV6KTUXMXSUHNDAPEKRJKMRG54DL2ZBNPQBWS42SF, 0.02 ," 6,186 "," 3,100.00 "," 3,086.09 ", 13.89 , 22 , 28 , 50 ,
GAWBCNDXFGUECY7GI3HDH57PZW2GQID6CUNLB7FQ5GL3DL5XPYCVGWJN, 0.02 , 3 , 1.75 , 1.72 , 0.01 , 1 , 1 , 2 ,
GAI4XODMTZLUMHGFW7PHDALWJ4R7S6GBYXEO2ITCRLBUDSMDCI3MOXL2, 0.02 ," 53,879 "," 27,000.00 "," 26,879.02 ", 120.96 , 63 , 61 , 124 ,
GAVRF5EMIOBVCV6K5KBMZH3HGORIL2ADKO2PC6BIRJUNZJ24CD5OPB2N, 0.02 , 0 , 0.10 , 0.08 , 0.00 , 1 , 1 , 2 ,
GASVQRG2RQJOK35KLGG32CXMDWTFZJNHGX62IDC3VQLEUJKVTYJQVQM7, 0.02 , 200 , 100.00 , 99.53 , 0.45 , 1 , 1 , 2 ,
GCB5LENU734PCE3SBRDZQJRFMP7HIXZFRQQNEHJGB3N45JCR2XE2XH5H, 0.02 , 200 , 100.00 , 99.53 , 0.45 , 1 , 1 , 2 ,
GBTF5QSP7PNQR75C3BPIVWDMMECM6SDUQ7IWHM4E7ETZ4P4KUQH3YHRM, 0.02 , 200 , 100.00 , 99.53 , 0.45 , 2 , 1 , 3 ,
GDAASTBB4R4PEL53WECACV7XBYAWIKCWGQM7UVGDHTRG3TILSPZULNHG, 0.02 ," 1,197 ", 600.00 , 597.29 , 2.69 , 6 , 6 , 12 ,
GADDHTSQSXGIVWIQPLJDJ3LULXOAWOPTP3OYANGIBPBRZW66DJ45HJT4, 0.02 , 2 , 0.99 , 0.97 , 0.00 , 1 , 1 , 2 ,
GBSSDZSETAZHWFMNFPLTIOM7DS5JZH42SQ2EA2CJ5SLYIO4UGILGLLSS, 0.02 , 361 , 180.81 , 179.98 , 0.81 , 10 , 3 , 13 ,
GBE6DJHSIR6RLPCTJLIYBCA7VUOFNJ5YW6MSAOJL3QQ4E2BI3OA5EFP4, 0.02 , 3 , 1.39 , 1.36 , 0.01 , 28 , 14 , 42 ,
GCAXBO7K2IA4ETHYIVLXJYJXDA5UOIFCHGLLYGM36QMXTUBNJHLJSVQN, 0.02 ," 8,581 "," 4,300.00 "," 4,280.72 ", 19.26 , 9 , 8 , 17 ,
GCVF45FFDPDT4Y5SL2YPSIQXSXIZR7ZMHOL7623TUKXDPO3BPC4KKKJI, 0.02 , 244 , 122.49 , 121.92 , 0.55 , 9 , 1 , 10 ,
GDK4TT4CQM6BW2V2NU2VVKWJP3TLSI5OXYZAI6XV26SUIXNBE2QU25AC, 0.02 , 0 , 0.15 , 0.13 , 0.00 , 2 , 1 , 3 ,
GABXYMYZXWUQ3GRJH7NHWJYN32KVQM2T6LD2CY3I3ZV66YFAIQ76BTKD, 0.02 , 37 , 18.73 , 18.63 , 0.08 , 4 , 4 , 8 ,
GBHR3PVDJDIFEYAGB47KCLFCEUC4CKWNZQWY6F7FGTURTKOP2P62JXDU, 0.02 , 4 , 2.00 , 1.97 , 0.01 , 2 , 2 , 4 ,
GAK3TJ5HR5OKXULCBS6DJAGP45ZWUVYRXJD75MCGDVOCL7BTPMINVTKO, 0.02 , 0 , 0.03 , 0.00 , 0.00 , 1 , 1 , 2 ,
GDG4ACK7YJ2KU7P2PPIWDMAI4343XEN2IGNPJTD7X2Z4HSVB7NZGYBIV, 0.02 , 7 , 3.53 , 3.49 , 0.02 , 1 , 2 , 3 ,
GBGUSAGZUXLQBQIHKADCVMS6QHPZXIWEOGT2RO7CEK5XQFJOPOCPWTHD, 0.02 ," 20,953 "," 10,500.00 "," 10,452.78 ", 47.20 , 17 , 24 , 41 ,
GBT3ZQUHCJJCHUWHLBCCOV3EE7XXPGVILWISV27CV7WKIARH4VIHRVTO, 0.02 , 815 , 408.35 , 406.50 , 1.83 , 2 , 3 , 5 ,
GCZN2YNX3RAZ37VYWUXGEMI5T4DH6IYD34UMWWP73DWWEQUPUFCLWZCU, 0.02 , 10 , 5.00 , 4.96 , 0.02 , 1 , 1 , 2 ,
GD3ILQQNINYDPXWXDT6D2BCLXXVI7VMRHPQU7KUIS5G3TIZJW7YWMA5O, 0.02 , 2 , 1.00 , 0.98 , 0.00 , 1 , 1 , 2 ,
GBEPDCIONJMWNES6DNB6MNH5DQ5OEIB3BIAY6ZVSN4OHX7BDDBVSLWSK, 0.02 , 40 , 19.98 , 19.87 , 0.09 , 3 , 3 , 6 ,
GC3KN2OLN6XJ5A7Q4ZBCPQISTKLXFFVY2VRR3YNBQUCN23BHG6LER2Z2, 0.02 ," 17,561 "," 8,800.00 "," 8,760.56 ", 39.42 , 32 , 29 , 61 ,
GDOMZFDUV43HNRK7FB5A7I4YXKQWRDEP5F5RALB7RKDOGF2ETSRCVMT5, 0.02 ," 16,563 "," 8,300.00 "," 8,262.80 ", 37.18 , 10 , 10 , 20 ,
GA76HMVLR5URAIHBFBYPUTNC2UI3GQ6WQ432CAO2KJUHPG2PC4QWCCT5, 0.02 ," 19,957 "," 10,001.00 "," 9,956.18 ", 44.80 , 2 , 2 , 4 ,
GBOIDV7AMQFD2PVXMUVUADUJFM3CGK22JIJPIFANQE2ENI2XVS7P2D6L, 0.02 , 9 , 4.37 , 4.33 , 0.02 , 2 , 2 , 4 ,
GC5NTO3P755S4GFO257K3W6GSKRAO2QC33APXM6HQIB4J2GNU2PGYMSM, 0.02 , 6 , 3.01 , 2.98 , 0.01 , 1 , 1 , 2 ,
GCJQRHPJFSMNSDFVMANP6R5E3IPIHAL2AQXYJ464UFXRE2JLSXKKN4UF, 0.02 ," 5,631 "," 2,822.07 "," 2,809.41 ", 12.64 , 16 , 13 , 29 ,
GBEAQX4L7VWZXAQNTOCJNGO6INWQ6EZW2S2WAXDLVG6OSMS3NLYGUOOC, 0.02 ," 96,184 "," 48,200.00 "," 47,984.05 ", 215.93 , 65 , 59 , 124 ,
GAR4RP6E2VQJAPPJIQMK55KKYKVWICUWBU5QYZNVRPUSFWEGAJ4YQZBT, 0.02 , 49 , 24.49 , 24.36 , 0.11 , 5 , 5 , 10 ,
GC4LKG5NGWZQCQMUF4LLBBPOU4KA2LFCX7RH6ZDSR45ZWHEFVQ5L6YVV, 0.02 , 40 , 20.05 , 19.94 , 0.09 , 3 , 3 , 6 ,
GALFQKYNRDA5TIVCO5L54YCNMSEBYVIDRXNK7WKTHIB2WREPQKU3EG6R, 0.02 ," 10,377 "," 5,200.00 "," 5,176.68 ", 23.30 , 14 , 14 , 28 ,
GDFLHYY7PLBQB7L6NBUJBK5D33UEX4UOLFHBV6WVPTL5O4PLZKFETZ2Q, 0.02 ," 1,996 "," 1,000.00 ", 995.50 , 4.48 , 4 , 6 , 10 ,
GABSBIIFBA524Z7LNMQLSC6IX4RUG3N6BJSRLS4OQ76GKN4DN7RJAZ7O, 0.02 ," 4,989 "," 2,500.00 "," 2,488.78 ", 11.20 , 25 , 25 , 50 ,
GA2Q5XXERPOC32J33B3DY7WJOD3IOW2ZIZ4REG3574GCZEPHKWEGP3IS, 0.02 ," 3,355 "," 1,681.04 "," 1,673.49 ", 7.53 , 28 , 15 , 43 ,
GBRYY3BQU4WISKRQSM7A4VHBGPUDPIC5R7O2MOYZJ5BNQLGTHN6ABFHK, 0.02 , 798 , 400.00 , 398.19 , 1.79 , 1 , 1 , 2 ,
GDPA7KNUFFENGHEDKCLE6N45EAX3IVB3RDW333PAWC2HGXGUMHC5MV2U, 0.02 ," 4,989 "," 2,500.00 "," 2,488.78 ", 11.20 , 8 , 8 , 16 ,
GCLVQEBKWATXBSLU5KDXWX2B7V4LO2DPURRIJXLJ4YLM573B23GJ7URC, 0.02 ," 4,191 "," 2,100.00 "," 2,090.57 ", 9.41 , 3 , 11 , 14 ,
GCF4B6ORHWMCO3SQVODIXNS37EJ7D2STRLHWX4K6IDSWPLGGSH4J6YWG, 0.02 ," 8,381 "," 4,200.00 "," 4,181.16 ", 18.82 , 9 , 11 , 20 ,
GCUGIBRY7PQ4E5RNX57OSUZVYPXU43XY3F4Q2BB4LDLHHPR2Z3UIYYYD, 0.02 , 399 , 200.00 , 199.08 , 0.90 , 1 , 1 , 2 ,
GBZRM3FBVB5RYHU4AJL45IFZXUBVZU3AN4GLULGS7LQ4CHCYT3WCQJP7, 0.02 , 102 , 51.19 , 50.94 , 0.23 , 7 , 7 , 14 ,
GBCUEOMZ7HAXKWMKPFCFS5QBGX456HTTZ4IYDIBGKY5S3QHLBCBDHBVB, 0.02 , 200 , 100.00 , 99.53 , 0.45 , 1 , 1 , 2 ,
GDBBTQNCCBSBOIWXM7DGI7XIGJ3MUCHT3YZ3QQAPHDB6LO4JS52GBFLY, 0.02 , 190 , 95.00 , 94.55 , 0.43 , 1 , 1 , 2 ,
GDIQ4R6VR42FU23PPJSL5IWMATOS4M5DNYHLRYRLIRNP74EVOTTNLJMG, 0.02 ," 4,989 "," 2,500.00 "," 2,488.78 ", 11.20 , 13 , 10 , 23 ,
GAOZ3525CUB5JMG3J6TWQDDJDLRCIL5EKT6LKBXFX2QZUFKJKNQUVYUU, 0.02 ," 21,552 "," 10,800.00 "," 10,751.60 ", 48.38 , 8 , 9 , 17 ,
GD2VM2TNRPQPZ7KR7ARY62XHFTPW57XNVNF3LIULTVYG3YM2RPNDP5QB, 0.02 , 998 , 500.00 , 497.74 , 2.24 , 5 , 4 , 9 ,
GCW4IH4LWKJJHWQDVLX4SEBU7S7C24WJGPEAGQQKQT46OLQDAIAMKFSK, 0.02 ," 7,583 "," 3,800.00 "," 3,782.96 ", 17.02 , 9 , 10 , 19 ,
GD5WXK33G6TZEX6JCXPOWYNN2SMYHJXJ7IJEJBGRU7Y5AXOQKRXD2WQZ, 0.02 , 40 , 20.09 , 19.98 , 0.09 , 3 , 3 , 6 ,
GAMZZDM2FJX46FDP4Y2QUMSPTTBZKE5GDVZ46BEGYUMJI5MSLZ6SGAQN, 0.02 ," 3,392 "," 1,700.00 "," 1,692.36 ", 7.62 , 17 , 17 , 34 ,
GC4K7OPFQO6QWXWDMWPI5HX4Z7STQ7PSENR6FHGRKFTRWYJQCO7PK4BT, 0.02 ," 7,683 "," 3,850.00 "," 3,832.68 ", 17.30 , 4 , 1 , 5 ,
GB7RURYBOOUZMGCCVMSGG4WSQQ373QBORBES26MJLQBTMXTHDP6GUHDI, 0.02 ," 2,594 "," 1,300.00 "," 1,294.16 ", 5.82 , 12 , 13 , 25 ,
GBUJ7PZGLPGW4YA6FFEZ2CIBMMBWEOUTQ3WBEJYQ7TJZ4E22TJWHN4ZE, 0.02 ," 3,193 "," 1,600.00 "," 1,592.81 ", 7.17 , 4 , 3 , 7 ,
GDTOGWUM3YDRBE3CNAYTTQYJUUIED2HUY36SRQWURDRWJSI436QMBZOZ, 0.02 ," 3,193 "," 1,600.00 "," 1,592.81 ", 7.17 , 4 , 4 , 8 ,
GAGSUOZ6JDT6W5ATFLVMELEDPVKMDYCEIQ72IFLBAWVLJPRO2GVHW5AA, 0.02 ," 3,592 "," 1,800.00 "," 1,791.92 ", 8.06 , 19 , 16 , 35 ,
GDTLRKZ5LK7YP3QBCGFL3TWD7KLQK7VES2CNILZ5CYHQUDNE2BVL3OW6, 0.02 ," 2,993 "," 1,500.00 "," 1,493.26 ", 6.72 , 15 , 15 , 30 ,
GAOTAQANALM6UFAC5LDZAPDMD4OH5Z4HRKH6SLNCZAJXHJOXXQONGKKX, 0.02 ," 2,594 "," 1,300.00 "," 1,294.16 ", 5.82 , 13 , 13 , 26 ,
GDRLPIRAEBSXQWZU7R6MDFRA4CZCT3PIO7KVOMTIWEZ4KR6EK42OABKT, 0.02 , 603 , 302.40 , 301.02 , 1.36 , 2 , 9 , 11 ,
GBTYJZF57VMDH53X6L5DHXBWOEJQYUDKYMWCMECID76RQLIP6VJRQA4T, 0.02 ," 1,197 ", 600.05 , 597.34 , 2.69 , 6 , 6 , 12 ,
GAYUBEJ6V3FXA7TWMHXC7TRVOKQH6YH5YEUOQEAZ3INKR36LBSU6UPH2, 0.02 ," 2,395 "," 1,200.00 "," 1,194.60 ", 5.38 , 12 , 12 , 24 ,
GBK7YSJXKRNAMTUIWDXLIC2BMZITPMA4JJ2VK5BT6IIQOPA7AENKCAWR, 0.02 ," 2,596 "," 1,301.00 "," 1,295.15 ", 5.83 , 5 , 3 , 8 ,
GDM4VOOLRXWYHXVHE4OHHJAYWZXGRNMHRS7B3BYU3H5BNR6DOWXZRXWM, 0.02 ," 2,195 "," 1,100.00 "," 1,095.05 ", 4.93 , 11 , 11 , 22 ,
GAVTLAJ3XT4C7MXFRBT7FVHMW4KPG7AX6EBWIHOO6NXKQIK3PLLKRRGO, 0.02 , 596 , 298.66 , 297.30 , 1.34 , 1 , 1 , 2 ,
GAYJVJFTAOAZUCGUH7TE7QCAHM4EA2IK3L3NUR7X3Z3TI7YCVZ4IZ4MO, 0.02 ," 1,996 "," 1,000.00 ", 995.50 , 4.48 , 10 , 10 , 20 ,
GBCFY2I6GQ66U5MMMIKY245DVGBVTOW557QSXEU5AYJC2DQVFN7ML4IG, 0.02 ," 1,996 "," 1,000.00 ", 995.50 , 4.48 , 10 , 10 , 20 ,
GAOUEBHSJNAMLNM5RF75JCCNNL7FP3EFJOINXHLULCLL6BVRSECBXA3Q, 0.02 , 4 , 2.01 , 1.98 , 0.01 , 2 , 4 , 6 ,
GDRH4BRQLPHIYSJ47OQZMQI4N4MGFGH5RR6G2EIOTJJDUD6647KEHVDY, 0.02 , 798 , 400.00 , 398.19 , 1.79 , 5 , 4 , 9 ,
GAXGOTXGXHJ4I5VH6Z66JFN52YJYQVP2KOOC26R5377RKTP5K7MGAMFE, 0.02 ," 1,796 ", 900.00 , 895.95 , 4.03 , 9 , 9 , 18 ,
GD5PWKSXI22YNXHVCXKQLVENC7NILLWN4ALAUI6IH6T5WVUSGMWT5HPY, 0.02 ," 1,796 ", 900.00 , 895.95 , 4.03 , 9 , 9 , 18 ,
GCX5UCNOH7ISBT4VATOHO5GGEHADG5T5VN4PQNBQ7HJHRHJL64Z4S6MZ, 0.02 , 399 , 200.00 , 199.08 , 0.90 , 10 , 2 , 12 ,
GCJAZ65C2DJJHAPPHJXDOSVCNMRJOP4XCU7KGPVXBXJTAJYEXRAWNQGT, 0.02 ," 3,193 "," 1,600.00 "," 1,592.81 ", 7.17 , 19 , 16 , 35 ,
GCNQBOXSNFWWN3WJ7V4PEUNWNFJT424Z73D3MMFAWGG4BNVT54MEXCS3, 0.02 , 402 , 201.24 , 200.32 , 0.90 , 3 , 4 , 7 ,
GBOPMI5CWSYTANTMGTFUHQIRHQMBZJRZX2QVL4MR7HOQ7DTJSHMTSLH3, 0.02 ," 1,197 ", 600.00 , 597.29 , 2.69 , 5 , 2 , 7 ,
GC3JIEVFPHHYT5OANJBCIL222I46AVHDXXTIMCE6C2NHU5PLH7H2PRYW, 0.02 , 0 , 0.15 , 0.13 , 0.00 , 1 , 1 , 2 ,
GBIRLG3ATIOAEVPU3NSXM5S53Q37Q3KJQO52NP43BX5IMYHZRZGYMWSH, 0.02 ," 1,596 ", 800.00 , 796.40 , 3.58 , 2 , 2 , 4 ,
GAYJKI3JANDKD735USDWXHNUYRTJQFV6BTWFVGZXLOACTMQ2RM3JGVJV, 0.02 , 345 , 172.73 , 171.93 , 0.77 , 5 , 3 , 8 ,
GDPWXSPELWBQ6WR6YVKQKZ2P6YLGGSOWR2EDU6TUNWOLZELQAZXYZE66, 0.02 , 161 , 80.63 , 80.25 , 0.36 , 10 , 3 , 13 ,
GDQTRV2W6VTZN677XPDMRYLDDJH4UQFNLXVQLYQAMWFVG4GZQ4KTS3D6, 0.02 , 399 , 200.00 , 199.08 , 0.90 , 3 , 2 , 5 ,
GBBYSYRMGKZ2LJVFS7ETM2AYN2YMJ2OJWUXG4ZBF3JBNEW4QXJDII3P6, 0.02 , 811 , 406.50 , 404.65 , 1.83 , 1 , 2 , 3 ,
GCHKYVQOV5S45UIHMHHBJYMJVXKV5SXDNMFND7XGCOSEO2WHQ4JZJM2G, 0.02 ," 1,796 ", 900.00 , 895.95 , 4.03 , 10 , 9 , 19 ,
GDPMEE4VJETXSXDIR5H3K2BTGZPQFY42I3BQTHJ4II4KWSTMN2MXVX2K, 0.02 , 798 , 400.00 , 398.19 , 1.79 , 3 , 1 , 4 ,
GDI5AFL4XF7X3XCRRXSZQHMSENXCRSM6JDBWR3ECYJORGFOEVWWVBVLE, 0.02 , 747 , 374.30 , 372.60 , 1.68 , 3 , 3 , 6 ,
GABSF2NOYNA2LLH36IAGBWKVRWXT5TRCLYTKR3KQ6P27ZXKYFBLSJD5L, 0.02 , 407 , 204.10 , 203.17 , 0.91 , 10 , 6 , 16 ,
GBR6J2QWHQSJPRKZRA4MLXMCJOUD3XD3OTM5KXCT6XXK4P5VEY64TRNL, 0.02 , 78 , 38.91 , 38.72 , 0.17 , 3 , 2 , 5 ,
GB3T6BEVGQUUYJXET5CUFN2BKDDAUMGU5GU3EKFKPEA3DPHIX7YEG4IG, 0.02 , 225 , 112.75 , 112.23 , 0.51 , 1 , 3 , 4 ,
GCTAWMT5KQHYZVTQDWJXCBJN4WD6WYMZBI6WUARCWHFNX3T3PIJKYYG2, 0.02 , 3 , 1.75 , 1.72 , 0.01 , 1 , 1 , 2 ,
GDIQH3DFXKT6BZHOTCRMBMGUJP5W6CRFEQSXUOK36RXDAUDK2ZHTFEFQ, 0.02 , 2 , 1.00 , 0.97 , 0.00 , 1 , 1 , 2 ,
GARGK4ORQU6WWXFUQKEMCWHESN6UFU4PK7TNTDFZUAAAPBB5YM7ZAF2C, 0.02 , 2 , 1.00 , 0.97 , 0.00 , 1 , 1 , 2 ,
GB5BBE7GSXGEBDTW2WMVXPLKG3VY7KJ4CRKMBLERZARRHP5M2LPK6PFS, 0.02 , 1 , 0.50 , 0.48 , 0.00 , 1 , 1 , 2 ,
GAVKFHSNQ6NTHUM663SKGVCQ7Q2UMIMKVES64KHHN6EF4TDPFIHT2C3K, 0.02 , 2 , 1.00 , 0.98 , 0.00 , 1 , 1 , 2 ,
GCELI3QGXAVMPSV7O6S7ZXYMI45P3FCKFABG2EPDSZAMLG52VWK2TH3N, 0.02 , 2 , 1.00 , 0.98 , 0.00 , 1 , 1 , 2 ,
GASRQQJEFHXSHT3PMGSQWAAO3LSYOB3BK7BLTGTPZEBJGBHALFW4FFGU, 0.02 , 2 , 1.00 , 0.98 , 0.00 , 1 , 1 , 2 ,
GBPLYZPRVOYAPSTZ7GFLJPJP7MRKJFOKBTR3XBZZAGIIV37OWQOWCQL6, 0.02 , 2 , 1.00 , 0.98 , 0.00 , 1 , 1 , 2 ,
GDHN4HB3OOVGIC2RRUXZ3YYKGU66AVIQYPFCEUZ43AUHS62VNCUQ2PPX, 0.02 , 8 , 3.97 , 3.94 , 0.02 , 1 , 1 , 2 ,
GBL7HPYUPRSMP4M5CDJGLDF6XZXNYVPLY3I35VQ2T3U624LKGEVDSYCP, 0.02 , 998 , 500.00 , 497.73 , 2.25 , 1 , 2 , 3 ,
GCQNHFZBBL2H5J5PA35PCTVYSMSRTAOTHBTVSHDAEENWMSDXBYOWACF7, 0.02 , 200 , 100.00 , 99.53 , 0.45 , 3 , 1 , 4 ,
GBP4JASAUV47QKD3ZTR4QYWMITNEY2FNO3BBHDNPZUHXDTGTVXAISJCH, 0.02 , 200 , 100.00 , 99.53 , 0.45 , 3 , 1 , 4 ,
GASV253ELKSPRD72XLY6SO2MSJ5LMYNIG44I6P7GL3D6FAENTDS5UCFQ, 0.02 , 2 , 0.97 , 0.95 , 0.00 , 1 , 1 , 2 ,
GAKQIRKEVFLDL2ULMQCPMQJ2TYWM2JAILMHSD6WNABTOAHDRSEMPQ5UG, 0.02 , 89 , 44.80 , 44.58 , 0.20 , 1 , 1 , 2 ,
GCZA2G2ZF55WOIHKZHWJNRWFILRLE53IDDIV4NIV5OYMTTRYQFDC2FNM, 0.02 ," 1,596 ", 800.00 , 796.40 , 3.58 , 9 , 7 , 16 ,
GAPBKR3FC4ME33UBNDQ3UNFYBTS64I6Y6JSGRMYN5OQB4CLTKBEGE34P, 0.02 , 599 , 300.00 , 298.64 , 1.34 , 2 , 1 , 3 ,
GA2TPHE4DDNIO2U5HBGZOP4YEU7SOOZJZXDY2FS4TOV5IDMREWUSVPJZ, 0.02 , 2 , 0.99 , 0.96 , 0.00 , 2 , 3 , 5 ,
GBIW4VHX4BX6P6LUYWWGTFA2ALS6ZIQZSE53ZJLP42B67OXNSS6D2H3L, 0.02 , 7 , 3.68 , 3.65 , 0.02 , 1 , 2 , 3 ,
GCBRGL62A6BADOX6UEPQOQMTYJECGIXX4YV3NHWKKUTH7OJXHRNZYA2E, 0.02 , 16 , 8.20 , 8.15 , 0.04 , 1 , 1 , 2 ,
GDQLZNDJ4QWY3BY45UIT757QXWIGS4NFODBA3XLGJ3HORI272JBAKOW6, 0.02 , 70 , 35.14 , 34.97 , 0.16 , 2 , 2 , 4 ,
GDWZLY4VGV3BYTQKHYT25RGHKU2426SRXDQDJELHX2CFGR6KNDZTL734, 0.02 , 5 , 2.68 , 2.65 , 0.01 , 2 , 2 , 4 ,
GDLLCX6CSSWGLINV7RSTKEQHKMEMJXCI5QBC6ZJ7RGSQKEG7ZBLHIWER, 0.02 , 134 , 66.99 , 66.67 , 0.30 , 2 , 3 , 5 ,
GCQYJV7X3X4BVZVUH4MVL62CKHKQ6F4XTAOIDSDFWZAH556JYTDLOYQY, 0.02 , 40 , 20.01 , 19.90 , 0.09 , 1 , 2 , 3 ,
GC4WIWAAIKL5HN4IEGBBWRCHRNJXBWIWGO6QQMETWWYW3TQIO5RSKCVY, 0.02 , 279 , 140.00 , 139.35 , 0.63 , 6 , 3 , 9 ,
GD42FBSNMKIR2VPCKVXG6IW5ALN2Y2RJPQD2TCYGJXWX5XKLY5CEPGRN, 0.02 , 199 , 99.55 , 99.09 , 0.45 , 4 , 1 , 5 ,
GBEA5MV2MLFC6UAFY44OJAT4GTMOIW2J6AY63YPDXAYVTYQAXMSSUQYX, 0.02 , 68 , 33.85 , 33.68 , 0.15 , 2 , 2 , 4 ,
GAKGT6KYFQURIWFMYTLM723OKLLOW7GQ7KYGPQ56L6B43GC65C3U7VDG, 0.02 , 9 , 4.52 , 4.48 , 0.02 , 1 , 2 , 3 ,
GCM4XIFI6Y4DYCZJQRSCC5VV5DTWFBELSSDJY3LSDQRSO26LLAE5JGKM, 0.02 , 3 , 1.62 , 1.60 , 0.01 , 1 , 1 , 2 ,
GBTGYCCBQR4CNS73T7WXAQ3YTUL2HRRNYT327JXB2EESAQJ66KRHXTDT, 0.02 , 66 , 33.17 , 33.00 , 0.15 , 3 , 2 , 5 ,
GATLNAXLEA473LLL4HAEXTPBOKA3NPDQWKTPGRDEJ66JZTHIZTDWLHRF, 0.02 , 200 , 100.00 , 99.53 , 0.45 , 4 , 1 , 5 ,
GCXGZA3ZMJQ6CDCUMY7L3RP7GDCCUYUTYUKYX3DLGVQ4HLDOECO4FBEL, 0.02 , 1 , 0.58 , 0.56 , 0.00 , 1 , 2 , 3 ,
GCURVTJ4X22TUL7O3NHBQ5TU3V2S2NKHDYEWXQ37KHUW47NCETBLX3BN, 0.02 , 126 , 63.04 , 62.74 , 0.28 , 4 , 4 , 8 ,
GDESY5JV6BJXDKRMZENHY3DPCGV7TZXF6ZH7YOVPMQZ435JQWOYUDH4Q, 0.02 , 998 , 500.00 , 497.74 , 2.24 , 5 , 5 , 10 ,
GDOC3ERZFEWL47QJGJ2S42ZH5WNRYOAKVLE6G3I6LFBQLIMIL257TH57, 0.02 , 4 , 2.17 , 2.14 , 0.01 , 1 , 2 , 3 ,
GBQECPYVTXWROKCAZZAEUQCB4EFQ74KZVF4UY5QA3RHCAJH2EBDNJZDU, 0.02 , 9 , 4.59 , 4.55 , 0.02 , 1 , 1 , 2 ,
GALGBXKRGO7DVLSTM73VO2H7IQXNP3FV4ADE2Q56MUYXIFTYFXAWBXP2, 0.02 , 49 , 24.67 , 24.54 , 0.11 , 2 , 2 , 4 ,
GBGPMLLJ4IEQRBSRP6WATJZW7TJJPAW3GKMI6FOTRZYKVWJGWDSJ76K4, 0.02 , 200 , 100.00 , 99.53 , 0.45 , 1 , 1 , 2 ,
GBRXWD6O66RUX4HLEYWJZ5R6BC6NKKKIGWNRIT5D7A5WICVTES5VB4FI, 0.02 , 200 , 100.00 , 99.53 , 0.45 , 1 , 1 , 2 ,
GCH7HEXC5VHTZRS4TB65PGX7DBMMC6TWIQKLAQ2TWRFP2LXKSO2M72UO, 0.02 , 200 , 100.00 , 99.53 , 0.45 , 1 , 1 , 2 ,
GDMHKJLOKEJPEFARSAXT2MLMCWBPF2MQYGOJF3BGXX7PCW4XGHPAUTLG, 0.02 , 200 , 100.00 , 99.53 , 0.45 , 1 , 1 , 2 ,
GDVKK34HYMFPT5KI3NCVL7OCATWA6OOIGK3W3AU4SQQF62QGHSOFXIAD, 0.02 , 200 , 100.00 , 99.53 , 0.45 , 1 , 1 , 2 ,
GAOC45H7JIMPIQCAE32LQKRMGIJAKW5CCPMCJEE2BWVDNXV4EUXQZZNU, 0.02 , 200 , 100.00 , 99.53 , 0.45 , 1 , 1 , 2 ,
GDSGFCEHZXHT4H3N7M7CHEIWU4NQJEYZCBHP63OKINTPK46VHYEXN5DQ, 0.02 , 200 , 100.00 , 99.53 , 0.45 , 1 , 1 , 2 ,
