address, current_balance , gross_tx_amount , in_amount , out_amount , fees , out_txn_count , in_tx_count , gross_txn_count ,
GA4CJ4RVOXBAGHJR4M7IE2QYO7UMRW37NEERZLWE32TJE3QCLRUSHVRG," 1,195.05 "," 3,400 "," 2,300.00 "," 1,100.00 ", 4.95 , 11 , 22 , 33 ,
GDJ526NMR762YLM3XXVPHXF4B5GUAKPKJ6NUGWTVRNP7LKLYWVOBTG6K," 1,100.00 "," 1,100 "," 1,100.00 ", -   , -   , -   , 2 , 2 ,
GBDFSBDHONGXHEQEJ2NAJOAYEXKDAZNYQRHQMBO3LS3LV2BN4UITWFR3," 1,093.84 "," 1,094 "," 1,093.84 ", -   , -   , -   , 3 , 3 ,
GCKMFOANOLDXUMPR4TJ34R3NZCQGHT2YQQEVGMFFIZNGIX26W6OGKH7S," 1,012.17 "," 1,400 "," 1,206.55 ", 193.51 , 0.87 , 4 , 17 , 21 ,
GBGMWW27CUI4WTZAVX45CAGY2L5TT5IE4TTVN4PQBI6BBZ6LR7O4F3AK," 1,000.02 "," 8,184 "," 4,600.00 "," 3,583.85 ", 16.13 , 2 , 3 , 5 ,
GBMMYMLIBJQ3UVGKZWF2ESIDK2QWWB7BVW3H7OABLITXUCDVSSU7MEXL, 993.64 , 994 , 993.64 , -   , -   , -   , 6 , 6 ,
GCJJ4U76F45TIYJDCPWZOCMKZKVV5IONKAS7T3IYAIRLY5N52ZNSSQ5W, 900.00 , 900 , 900.00 , -   , -   , -   , 1 , 1 ,
GCHVX3FOUYP5AH7FVWJRUQRHIYUNEZ6X3SDPCQZEW4UQVMNKAALQOPQQ, 800.00 , 800 , 800.00 , -   , -   , -   , 3 , 3 ,
GBGG6Y7LMWYKPBA37Z5IK5TIDGFSOBJVTFYTWNAVSZ5RIWGRLPTZR7GT, 800.00 , 800 , 800.00 , -   , -   , -   , 1 , 1 ,
GBZDDE4FUGEG3XMZ672QUO5XC6SZLDI3B5FXBK37KX6DTF56RMZUXTA6, 800.00 , 800 , 800.00 , -   , -   , -   , 1 , 1 ,
GDQKVDZVWAMJ377F4ZD5LH5YVUVJISTKYFP2ANOL4QZPN5YC23S6EXBO, 800.00 , 800 , 800.00 , -   , -   , -   , 6 , 6 ,
GD3MLZUGAFCI24Y54EINFWXSYUT722N73GGJCA6T24JCWNJC4YAGSTER, 788.73 ," 1,000 ", 894.67 , 105.46 , 0.47 , 3 , 3 , 6 ,
GAFNLER7N3XIKZKXASMBMOFRIWZ7HYM7E27R5JZTHTRUVEG52RURFHX6, 756.00 , 756 , 756.00 , -   , -   , -   , 2 , 2 ,
GBPB7BZ52KEAT5O4OHOHLC5UNUPFV3MVUDCOS4IEJFTIYEPO5JW77HRX, 718.01 , 987 , 852.57 , 133.96 , 0.60 , 6 , 2 , 8 ,
GCWXBCY43ZLZS223SML3LIHI7WD3JPTUI3L4YCUL3S4KHABUUYUCDEKU, 709.80 ," 1,569 "," 1,140.33 ", 428.60 , 1.93 , 9 , 9 , 18 ,
GDC4KLAJILEJ4F2AOQ7NSJTHH3XVDAZ7Q4AB2MJEZYLKGTHJJZWZLSJH, 700.00 , 700 , 700.00 , -   , -   , -   , 3 , 3 ,
GBTKRYRX6WQCWVENYJ6BWGNSZ2ANKRJXLK5XZD3MGRMXJM3SJYQOAWOV, 651.48 ," 2,927 "," 1,791.65 "," 1,135.06 ", 5.11 , 5 , 5 , 10 ,
GCTKY6RKU4CWMPOSHWGC4QKPQ7T7WSKG25XD2C72QTP4JIOWHMF472HP, 633.91 , 634 , 633.91 , -   , -   , -   , 3 , 3 ,
GBHRAM7BEGXHUXNVCW2OWAJVODIJCUWBRFAXSGMH5WWE3FX644NR2Z3K, 600.00 , 600 , 600.00 , -   , -   , -   , 2 , 2 ,
